,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
COG5,COG5,9.7667e-20,0.7338600000000001,0.563,0.965
COG5,COG5,9.7667e-20,0.7338600000000001,0.563,0.965
LRP1,LRP1,1.0,0.032397,0.018,0.058
LRP1,LRP1,1.0,0.032397,0.018,0.058
SS18L1,SS18L1,0.98229,0.13366,0.065,0.306
SS18L1,SS18L1,0.98229,0.13366,0.065,0.306
GLB1,GLB1,7.921499999999999e-10,0.59208,0.416,0.86
IFT140,IFT140,9.914e-24,0.64444,0.511,0.818
SATB2,SATB2,0.9999899999999999,0.0,0.0,0.091
SATB2,SATB2,0.9999899999999999,0.0,0.0,0.091
DHODH,DHODH,0.0029884,0.41394,0.234,0.778
DHODH,DHODH,0.0029884,0.41394,0.234,0.778
DHODH,DHODH,0.0029884,0.41394,0.234,0.778
TMEM231,TMEM231,3.1399e-07,0.74844,0.479,1.213
SF3B4,SF3B4,0.9917600000000001,0.0,0.0,0.208
