,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
0,PPM1D,2.2321e-11,0.75444,0.53,1.096
1,SPR,0.0434,0.44121000000000005,0.2,1.138
2,SULF1,0.0013751,0.29954000000000003,0.199,0.461
3,SMAD3,0.79796,0.17497000000000001,0.085,0.4
4,SOX5,0.99995,0.072808,0.032,0.188
5,GTPBP3,4.1886e-09,0.79482,0.531,1.224
6,NPC1,6.5418e-06,0.33746,0.238,0.486
7,H6PD,8.5874e-09,0.6271399999999999,0.428,0.941
8,MYLPF,0.76035,0.11029000000000001,0.038,0.523
9,COG5,9.7667e-20,0.7338600000000001,0.563,0.965
10,UBA2,0.99851,0.093209,0.041,0.241
11,TNXB,0.018547,0.321,0.182,0.603
12,TCTN1,1.0708e-15,0.8826299999999999,0.642,1.233
13,SLC16A5,1.9979e-10,0.9915799999999999,0.662,1.522
14,GNAO1,0.9896299999999999,0.055101,0.019,0.261
15,AGR2,9.2381e-08,0.9668899999999999,0.607,1.582
16,CD19,0.90496,0.16879,0.087,0.355
17,AP4B1,1.335e-09,0.56921,0.399,0.827
18,VAC14,0.18554,0.24141999999999997,0.145,0.421
19,UVRAG,0.9894200000000001,0.13993,0.072,0.294
20,TRPV4,2.237e-16,0.77491,0.576,1.057
21,ARMC3,3.5404e-13,0.65291,0.478,0.906
22,MT-CO1,[],[],[],[]
23,ARID1B,1.0,0.044396,0.021,0.102
24,AIMP2,0.008024,0.45985,0.239,0.967
25,SCN4A,0.01294,0.25766999999999995,0.179,0.378
26,MICU1,1.9344e-13,0.8962600000000001,0.635,1.291
27,FAM189B,8.055399999999999e-06,0.47236999999999996,0.307,0.751
28,TTI1,4.8982e-10,0.5697300000000001,0.403,0.82
29,TCF7L2,0.9953700000000001,0.11922999999999999,0.058,0.273
30,KAT6B,1.0,0.060836,0.031,0.128
31,DYRK1A,0.9996700000000001,0.082845,0.037,0.214
32,TRIO,1.0,0.088725,0.058,0.139
33,ZCCHC11,1.0,0.046618,0.022,0.107
34,FLNC,0.9999399999999999,0.16868,0.116,0.25
35,PMPCA,3.437e-11,0.7364,0.517,1.07
36,AARS2,4.9776999999999996e-17,0.62983,0.48,0.835
37,NOTCH2,1.0,0.058619000000000004,0.031,0.116
38,U2SURP,1.0,0.016335,0.005,0.077
39,ALG14,0.00093727,0.60629,0.331,1.196
40,DOCK8,1.487e-11,0.36499000000000004,0.282,0.477
41,KMT2B,1.0,0.026914999999999998,0.011,0.07
42,GALT,2.0533000000000003e-06,0.5433899999999999,0.353,0.864
43,TRIP12,1.0,0.018956,0.007,0.06
44,KCND3,0.98972,0.088568,0.035,0.279
45,ATP7A,0.9998299999999999,0.09424600000000001,0.045,0.216
46,TTC21B,2.704e-26,0.67797,0.543,0.852
47,UBE2A,0.815,0.0,0.0,0.537
48,GABRG2,0.73852,0.18958,0.098,0.399
49,UNC13A,1.0,0.09082799999999999,0.054,0.158
50,NDUFA9,0.0047988,0.35453,0.207,0.64
51,CAMK2B,0.7391399999999999,0.20197,0.118,0.364
52,SPINK5,4.846e-28,0.73969,0.592,0.93
53,CHRND,5.446600000000001e-09,0.65215,0.445,0.978
54,TBCD,1.0032e-07,0.35565,0.26,0.493
55,MRPS7,0.0012591,0.56917,0.311,1.123
56,DCC,0.9944799999999999,0.18387,0.122,0.283
57,NCOA1,0.9998100000000001,0.14577,0.089,0.247
58,CHD5,1.0,0.089818,0.053,0.157
59,FMN1,3.5863e-18,0.7044199999999999,0.537,0.934
60,ERCC3,3.4312e-11,0.55866,0.404,0.786
61,F10,2.3473e-06,0.59856,0.383,0.97
62,LOC100507389,[],[],[],[]
63,ZDHHC9,0.73749,0.15225,0.061,0.479
64,EMC1,6.7281e-26,0.7890199999999999,0.622,1.009
65,TCF7L1,0.36022,0.22666,0.123,0.447
66,ACTC1,0.73668,0.15238,0.061,0.48
67,ADCK4,2.8159e-13,0.7822399999999999,0.562,1.108
68,ZBTB47,0.9998299999999999,0.0,0.0,0.12
69,GABRB3,0.9513799999999999,0.13198,0.059,0.341
70,EGFL6,9.981799999999999e-13,0.8849100000000001,0.622,1.286
71,C2CD3,4.4437e-19,0.50333,0.396,0.644
72,KCNE1,0.003396,1.4807,0.562,1.927
73,CNOT1,1.0,0.007997800000000001,0.002,0.038
74,SCN2A,1.0,0.060487,0.031,0.127
75,MORC1,5.8802e-06,0.34762,0.244,0.505
76,ATRAID,0.00010516,0.62288,0.365,1.124
77,USH1G,3.7480999999999996e-05,0.62273,0.374,1.087
78,KMT2D,1.0,0.066852,0.044,0.103
79,SLC25A19,0.64923,0.16633,0.067,0.524
80,ARL13B,2.6559e-09,0.69124,0.472,1.037
81,RERE,1.0,0.046333,0.02,0.12
82,L1CAM,1.0,0.040841,0.016,0.129
83,SZT2,2.3263e-14,0.32693,0.265,0.405
84,ZMYND8,1.0,0.050672,0.022,0.131
85,AVPR2,0.55589,0.15079,0.053,0.715
86,ABHD16B,7.437100000000001e-05,0.6597,0.386,1.19
87,NEUROD2,0.9420200000000001,0.0,0.0,0.332
