,gene,pLI
0,PPM1D,2.2321e-11
1,SPR,0.0434
2,SULF1,0.0013751
3,SMAD3,0.79796
4,SOX5,0.99995
5,GTPBP3,4.1886e-09
6,NPC1,6.5418e-06
7,H6PD,8.5874e-09
8,MYLPF,0.76035
9,COG5,9.7667e-20
10,UBA2,0.99851
11,TNXB,0.018547
12,TCTN1,1.0708e-15
13,SLC16A5,1.9979e-10
14,GNAO1,0.9896299999999999
15,AGR2,9.2381e-08
16,CD19,0.90496
17,AP4B1,1.335e-09
18,VAC14,0.18554
19,UVRAG,0.9894200000000001
20,TRPV4,2.237e-16
21,ARMC3,3.5404e-13
22,MT-CO1,[]
23,ARID1B,1.0
24,AIMP2,0.008024
25,SCN4A,0.01294
26,MICU1,1.9344e-13
27,FAM189B,8.055399999999999e-06
28,TTI1,4.8982e-10
29,TCF7L2,0.9953700000000001
30,KAT6B,1.0
31,DYRK1A,0.9996700000000001
32,TRIO,1.0
33,ZCCHC11,1.0
34,FLNC,0.9999399999999999
35,PMPCA,3.437e-11
36,AARS2,4.9776999999999996e-17
37,NOTCH2,1.0
38,U2SURP,1.0
39,ALG14,0.00093727
40,DOCK8,1.487e-11
41,KMT2B,1.0
42,GALT,2.0533000000000003e-06
43,TRIP12,1.0
44,KCND3,0.98972
45,ATP7A,0.9998299999999999
46,TTC21B,2.704e-26
47,UBE2A,0.815
48,GABRG2,0.73852
49,UNC13A,1.0
50,NDUFA9,0.0047988
51,CAMK2B,0.7391399999999999
52,SPINK5,4.846e-28
53,CHRND,5.446600000000001e-09
54,TBCD,1.0032e-07
55,MRPS7,0.0012591
56,DCC,0.9944799999999999
57,NCOA1,0.9998100000000001
58,CHD5,1.0
59,FMN1,3.5863e-18
60,ERCC3,3.4312e-11
61,F10,2.3473e-06
62,LOC100507389,[]
63,ZDHHC9,0.73749
64,EMC1,6.7281e-26
65,TCF7L1,0.36022
66,ACTC1,0.73668
67,ADCK4,2.8159e-13
68,ZBTB47,0.9998299999999999
69,GABRB3,0.9513799999999999
70,EGFL6,9.981799999999999e-13
71,C2CD3,4.4437e-19
72,KCNE1,0.003396
73,CNOT1,1.0
74,SCN2A,1.0
75,MORC1,5.8802e-06
76,ATRAID,0.00010516
77,USH1G,3.7480999999999996e-05
78,KMT2D,1.0
79,SLC25A19,0.64923
